Rank,Address,Address_Nametag,Quantity,Percentage,Value
102,0x3631401a11ba7004d1311e24d177b05ece39b4b3,,"2,578.24",0.02%,"$1,535.68"
103,0x0f28ea226ee4c77e78bf8c99d4b8f578058f3335,,"2,556.85",0.02%,"$1,522.94"
104,0x5b9a14cd84b0c6e9691e5444e213e7d0ae83c870,,"2,505.37",0.01%,"$1,492.28"
105,0xaa4931b1ff1b055efc0a4a98518f979bf8d73ad8,,"2,453.59",0.01%,"$1,461.43"
106,0xb0f22fc15f4cddd5bd0b79457406f6643a4a3920,,"2,373.40",0.01%,"$1,413.67"
107,0x933c24e7bf21a084ea8efe287472662ecaa6b0f1,,"2,318.02",0.01%,"$1,380.69"
108,0xf2cada553318cfb1689869f06769f1350866ae9d,,"2,266.70",0.01%,"$1,350.12"
109,0xcfa5b4eb6411eda43554eb7631490d2bee30d611,,"2,260.57",0.01%,"$1,346.47"
110,0xd314c9fddb38770ccc740463e5d316ab9b559b44,,"2,242.98",0.01%,"$1,335.99"
111,0x055d3bd5d4806514c3160a1e0176da81931093fa,,"2,207.75",0.01%,"$1,315.01"
112,0x7c62b2d41059448e9f4726602ceec5d472cef173,,"2,188.73",0.01%,"$1,303.68"
113,0xcf6c3cbca1fca8c4bac3c3bb091939e193bd6cf6,,"2,175.87",0.01%,"$1,296.02"
114,0x87d4e259a750b003dfb5224e949c5a964d326df2,,"2,156.48",0.01%,"$1,284.47"
115,0x3ab240b25434b3b509b765d6c81e69d90cb5a55f,,"2,136.48",0.01%,"$1,272.55"
116,0xfade238b1593c9ef6e443b1a013f9815090bd287,,"2,135.36",0.01%,"$1,271.89"
117,0x636de8a722c2679ae760d7fd3cf4c2dd4846d057,,"2,076.86",0.01%,"$1,237.05"
118,0x7ccc3748702647cfdb066863104d3af92557e8ea,,"2,063.77",0.01%,"$1,229.25"
119,0x7a1cb6cc3fadfe58928e2979e9d1b88792c20257,,"2,033.73",0.01%,"$1,211.36"
120,0x16a92ef26d5f70e974dff39c87d87829ac3a1343,,"2,018.16",0.01%,"$1,202.08"
121,0x0b6eda021fec3b26e294883f2da148b5dd82dcac,,"2,013.31",0.01%,"$1,199.19"
122,0xc628f81ba0baa95f567f310db1fff8cf9937879c,,"2,005.06",0.01%,"$1,194.28"
123,0xc75b4eb4118bc726b80491189f1123f3b1951870,,"2,004.60",0.01%,"$1,194.00"
124,0x480d0e154f8fdffa434063b4e786058ea959a9b0,,"1,948.37",0.01%,"$1,160.51"
125,0x9237319e4c60243b7260b304e7b075da0093cc55,,"1,946.19",0.01%,"$1,159.21"
126,0xa65692a693ccabd4048720e441a251c2d8f6261c,,"1,897.36",0.01%,"$1,130.13"
127,0x5188a0cde9483dc11ce00d2e59f47383f4d8f9f4,,"1,893.72",0.01%,"$1,127.96"
128,0xa598b60603bbe6a72020be81ba177f4cf496e9cb,,"1,888.01",0.01%,"$1,124.56"
129,0x7ded1f6666c6350e01d43fa2b7bbafb44e09e2fb,,"1,879.30",0.01%,"$1,119.37"
130,0x0bc3a18b538779c7a575f7fe716e0bafdc50d176,,"1,868.83",0.01%,"$1,113.14"
131,0xe2b2ccc9e758dce0e14371934911274e0afe8880,,"1,866.55",0.01%,"$1,111.78"
132,0x528295e1e4179209a42e57dfe9258bd7f1cff0ca,,"1,843.37",0.01%,"$1,097.97"
